home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,home_team,away_team,starting_min,season
60,206,223,274,207,13,241,254,249,198,26,23,0,2009
60,245,223,274,207,13,241,254,249,198,26,23,6,2009
60,144,214,173,203,13,25,211,203,198,26,23,8,2009
157,144,214,231,203,13,25,86,43,65,26,23,9,2009
157,206,214,231,207,46,127,87,124,155,26,23,11,2009
60,206,214,231,207,13,128,178,249,198,26,23,16,2009
60,206,276,274,207,13,128,178,249,198,26,23,17,2009
60,144,214,173,203,13,212,254,249,198,26,23,19,2009
227,254,276,274,207,13,241,254,249,198,26,23,21,2009
203,245,223,231,207,13,241,254,249,198,26,23,22,2009
157,206,223,231,207,13,128,254,249,198,26,23,23,2009
60,206,223,274,207,13,241,254,249,198,26,23,25,2009
60,245,223,274,207,13,241,254,249,198,26,23,29,2009
161,245,223,231,203,13,25,211,203,198,26,23,32,2009
157,206,214,231,207,13,25,86,43,65,26,23,34,2009
157,206,214,231,207,46,127,87,124,155,26,23,36,2009
157,144,170,231,203,46,127,87,124,155,26,23,37,2009
161,245,223,231,203,13,212,254,249,198,26,23,40,2009
227,254,276,274,207,13,212,254,249,198,26,23,42,2009
60,245,223,274,207,13,212,254,249,198,26,23,43,2009
227,254,276,274,207,13,212,254,249,198,26,23,45,2009
203,254,276,274,207,13,212,254,249,198,26,23,46,2009
227,254,276,274,207,13,212,254,249,198,26,23,47,2009
13,244,257,255,191,81,80,94,180,131,23,18,0,2009
13,244,257,255,191,107,136,228,180,131,23,18,8,2009
13,27,213,209,191,107,136,109,173,131,23,18,9,2009
13,27,88,129,191,107,151,218,173,131,23,18,10,2009
46,128,88,129,148,119,151,218,173,145,23,18,13,2009
46,128,88,129,69,81,94,109,164,145,23,18,15,2009
13,129,180,255,191,81,80,55,63,131,23,18,18,2009
13,216,213,255,191,81,80,94,180,131,23,18,21,2009
13,216,213,255,191,81,80,218,180,131,23,18,23,2009
13,244,257,255,191,81,80,94,180,131,23,18,25,2009
13,244,257,255,191,81,80,218,180,131,23,18,31,2009
13,27,213,209,191,81,80,218,180,131,23,18,33,2009
13,27,213,209,191,81,80,109,164,131,23,18,34,2009
13,27,88,209,191,81,80,109,164,131,23,18,36,2009
13,27,87,49,131,81,80,109,164,145,23,18,37,2009
13,27,87,49,64,81,80,109,164,145,23,18,38,2009
13,27,87,49,64,107,151,228,197,145,23,18,40,2009
13,27,87,49,64,107,151,228,180,145,23,18,41,2009
13,27,88,129,191,81,80,109,180,145,23,18,43,2009
13,27,88,209,191,81,80,109,180,145,23,18,45,2009
13,244,257,255,191,50,176,174,259,215,23,24,0,2009
13,244,257,255,191,50,176,174,189,166,23,24,9,2009
13,27,213,209,191,50,46,241,232,215,23,24,11,2009
13,27,87,49,64,50,46,241,232,215,23,24,12,2009
13,27,87,49,64,70,267,277,246,215,23,24,13,2009
46,128,88,129,69,70,267,277,246,215,23,24,16,2009
13,27,88,129,191,70,267,277,246,215,23,24,19,2009
13,129,257,255,191,70,267,277,246,215,23,24,20,2009
13,129,257,255,191,50,176,174,232,197,23,24,21,2009
13,129,257,255,191,50,176,174,259,215,23,24,23,2009
13,129,257,255,191,50,137,138,259,215,23,24,24,2009
13,244,257,255,191,50,176,174,259,215,23,24,25,2009
13,27,180,163,131,50,46,241,232,181,23,24,35,2009
13,27,88,129,88,50,46,241,232,181,23,24,37,2009
13,27,88,129,88,70,267,277,246,215,23,24,38,2009
13,27,88,129,88,50,46,241,232,181,23,24,40,2009
46,129,180,163,177,50,170,138,120,197,23,24,41,2009
13,244,257,255,191,50,170,174,259,215,23,24,45,2009
13,27,213,209,191,50,208,277,259,215,23,24,47,2009
45,98,147,283,229,13,241,254,249,198,17,23,0,2009
45,98,147,283,229,13,127,211,203,184,17,23,7,2009
59,98,118,283,229,13,127,211,203,155,17,23,8,2009
59,157,165,240,218,13,127,87,203,155,17,23,9,2009
59,55,118,114,162,13,127,87,124,155,17,23,11,2009
59,55,118,114,162,46,127,87,124,155,17,23,13,2009
59,55,57,72,162,46,128,178,249,198,17,23,15,2009
117,157,147,283,229,46,128,178,249,198,17,23,17,2009
117,157,147,283,229,46,128,254,249,198,17,23,19,2009
117,157,147,283,229,13,241,254,249,198,17,23,20,2009
45,98,147,283,229,13,241,254,249,198,17,23,21,2009
45,98,287,283,229,13,241,254,249,198,17,23,23,2009
45,98,147,283,229,13,25,211,203,198,17,23,24,2009
45,98,147,283,229,13,241,254,249,198,17,23,25,2009
45,37,118,114,162,13,25,211,203,198,17,23,33,2009
45,37,118,114,162,13,25,86,43,137,17,23,35,2009
59,157,165,283,229,46,127,87,124,155,17,23,38,2009
117,202,287,283,229,46,127,87,124,155,17,23,40,2009
117,157,165,250,229,46,127,87,124,155,17,23,41,2009
76,98,118,250,229,149,128,178,130,155,17,23,43,2009
132,157,165,240,172,150,212,184,222,178,17,23,44,2009
59,114,118,114,162,150,212,184,222,178,17,23,47,2009
99,167,210,268,213,13,128,254,249,198,10,23,0,2009
99,167,210,268,213,13,25,87,203,198,10,23,4,2009
51,77,278,268,213,13,25,87,203,198,10,23,8,2009
51,155,278,268,213,13,25,86,43,137,10,23,9,2009
51,77,116,236,209,13,25,86,43,65,10,23,12,2009
51,77,116,236,209,46,127,87,124,184,10,23,13,2009
51,77,116,236,209,149,212,184,203,184,10,23,14,2009
51,77,116,81,209,149,212,184,203,184,10,23,15,2009
51,77,129,160,196,149,212,184,203,184,10,23,16,2009
99,167,210,268,213,13,127,178,130,137,10,23,17,2009
99,167,210,268,213,13,212,184,203,198,10,23,18,2009
51,167,210,268,213,13,128,184,203,198,10,23,22,2009
51,77,193,160,196,13,128,184,203,198,10,23,23,2009
51,77,193,160,196,46,128,184,203,198,10,23,24,2009
51,77,193,160,196,13,128,254,249,198,10,23,25,2009
