game,season,home_team,away_team,starting_min,end_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,fga_home,fta_home,fgm_home,fga_2_home,fgm_2_home,fga_3_home,fgm_3_home,ast_home,blk_home,pf_home,reb_home,dreb_home,oreb_home,to_home,pts_home,pct_home,pct_2_home,pct_3_home,fga_visitor,fta_visitor,fgm_visitor,fga_2_visitor,fgm_2_visitor,fga_3_visitor,fgm_3_visitor,ast_visitor,blk_visitor,pf_visitor,reb_visitor,dreb_visitor,oreb_visitor,to_visitor,pts_visitor,pct_visitor,pct_2_visitor,pct_3_visitor,outcome
201112260DAL,2012,5,6,0,5,48,87,59,78,178,29,70,269,281,212,11,3,5,9,4,2,1,3,1,0,6,5,1,1,11,0.4545454545454545,0.4444444444444444,0.5,11,2,4,8,3,3,1,2,0,0,8,6,2,2,9,0.3636363636363636,0.375,0.3333333333333333,1
201112260DAL,2012,5,6,6,6,48,87,59,82,222,29,70,269,281,212,2,0,1,1,1,1,0,1,0,0,0,0,0,0,2,0.5,1.0,0.0,2,0,2,1,1,1,1,1,0,0,1,1,0,0,5,1.0,1.0,1.0,-1
201112260DAL,2012,5,6,7,8,48,87,59,82,222,15,70,269,281,212,4,0,1,3,0,1,1,0,0,0,1,1,0,0,3,0.25,0.0,1.0,4,0,2,3,2,1,0,0,1,0,4,3,1,1,4,0.5,0.6666666666666666,0.0,-1
201112260DAL,2012,5,6,9,10,48,87,131,148,222,2,4,37,207,212,3,0,1,2,1,1,0,0,0,0,2,2,0,1,2,0.3333333333333333,0.5,0.0,4,2,2,3,2,1,0,0,0,0,2,2,0,0,4,0.5,0.6666666666666666,0.0,-1
201112260DAL,2012,5,6,11,11,116,150,131,148,222,2,4,19,14,159,2,0,1,1,0,1,1,1,0,0,0,0,0,0,3,0.5,0.0,1.0,2,0,2,0,0,2,2,2,0,0,1,1,0,0,6,1.0,0.0,1.0,-1
201112260DAL,2012,5,6,12,15,127,182,205,241,178,2,4,5,4,159,6,1,5,5,5,1,0,2,0,0,1,1,0,1,10,0.8333333333333334,1.0,0.0,9,0,5,9,5,0,0,1,0,0,4,1,3,0,10,0.5555555555555556,0.5555555555555556,0.0,-1
201112260DAL,2012,5,6,16,16,127,179,131,148,178,2,4,5,4,159,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,2,0,1,0,0,2,1,1,0,0,0,0,0,0,3,0.5,0.0,0.5,-1
201112260DAL,2012,5,6,17,17,127,179,131,148,178,2,4,5,207,159,2,0,2,1,1,1,1,1,0,0,0,0,0,0,5,1.0,1.0,1.0,2,0,2,1,1,1,1,1,0,0,0,0,0,0,5,1.0,1.0,1.0,-1
201112260DAL,2012,5,6,18,19,48,179,131,148,178,2,4,5,207,159,4,2,0,2,0,2,0,0,1,0,3,0,3,1,0,0.0,0.0,0.0,2,0,2,2,2,0,0,0,0,0,3,3,0,1,4,1.0,1.0,0.0,-1
201112260DAL,2012,5,6,20,20,48,179,131,148,178,15,70,269,249,212,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,3,0,2,3,2,0,0,1,0,0,1,1,0,0,4,0.6666666666666666,0.6666666666666666,0.0,-1
