game,home_team,fifth_player
200701050MIN,16,431
200704090DAL,5,224
200701220DEN,6,411
200612200SAS,25,427
200701310LAC,11,424
200701100NYK,19,410
200704030CHA,2,293
200701230CHI,3,421
200704170GSW,8,319
200611040DET,7,420
200701270NOK,18,437
200703050MIA,14,205
200701260PHI,21,384
200702090TOR,27,418
200704010LAL,12,404
200704060SEA,26,354
200704060CHI,3,421
200701120GSW,8,319
200611180ORL,20,426
200702030DAL,5,224
200703070DET,7,420
200612070SAC,24,398
200702260HOU,9,347
200611080NJN,17,283
200701260NYK,19,410
200703140CHA,2,360
200611010SEA,26,354
200611120SAC,24,309
200611260DEN,6,451
200704070MIL,15,378
200704180POR,23,430
200703300SEA,26,354
200611130NJN,17,442
200704080TOR,27,418
200703200CHA,2,360
200612310LAL,12,404
200701220IND,10,434
200611260SEA,26,359
200611260POR,23,430
200704100NOK,18,357
200702060DET,7,364
200612170IND,10,385
200704010TOR,27,320
200701270DEN,6,451
200703200NJN,17,365
200702030MEM,13,417
200611180DET,7,420
200611050SEA,26,359
200702050UTA,28,337
200612140NOK,18,357
200701230ORL,20,426
200612290MIA,14,302
200703200PHO,22,413
200611090CLE,4,259
200611030MIA,14,438
200702210IND,10,434
200611030MEM,13,379
200612310SEA,26,359
200611290UTA,28,299
200612270ORL,20,432
200702240SAS,25,427
200612310DET,7,448
200701090NJN,17,442
200701130CHA,2,391
200612230MEM,13,379
200702020PHI,21,384
200701090UTA,28,374
200704140MIL,15,378
200704030SAS,25,292
200701120MEM,13,419
200612310SAS,25,427
200701020DEN,6,281
200611100HOU,9,452
200704040HOU,9,347
200701080NOK,18,357
200611110CLE,4,386
200611170MEM,13,417
200703180POR,23,430
200704060DEN,6,325
200703020SAS,25,427
200701190ATL,0,403
200702110MIN,16,366
200703040BOS,1,380
200701300WAS,29,161
200701310UTA,28,346
200611010PHI,21,450
200704060MEM,13,419
200612290HOU,9,428
200703020MIA,14,397
200611140MIN,16,433
200701060NOK,18,437
200703250MIN,16,366
200612310DEN,6,451
200612200SAS,25,427
200703050MIA,14,438
200702110CLE,4,456
200704040MIL,15,378
200702260SEA,26,315
200612160NJN,17,442
200611010ORL,20,426
200612300DAL,5,224
200611050TOR,27,418
200703220CHI,3,436
200704030MIN,16,431
200611050PHI,21,450
200612010PHO,22,413
200701310POR,23,289
200611200NYK,19,410
200703210MIL,15,378
200611040HOU,9,414
200612110NYK,19,410
200703070MIL,15,318
200702110PHO,22,401
200701030UTA,28,162
200611240UTA,28,374
200612150IND,10,409
200611070MEM,13,417
200611100BOS,1,445
200703170MEM,13,379
200701260TOR,27,320
200612220MIN,16,366
200704070IND,10,434
200612030CHA,2,391
200612050SEA,26,354
200612150POR,23,454
200703030ATL,0,455
200704090DEN,6,281
200703040MIL,15,318
200704080TOR,27,320
200612010SEA,26,359
200703100WAS,29,161
200612020UTA,28,337
200702240LAC,11,424
200704060NOK,18,357
200702030ORL,20,185
200611260SEA,26,359
200612220SAS,25,368
200611280SAC,24,398
200702020ATL,0,455
200703290GSW,8,409
200612220NJN,17,442
200612150WAS,29,197
200701060SAC,24,398
200703050LAC,11,145
200611250DAL,5,224
200704040WAS,29,197
200612100CHA,2,391
200611060ORL,20,426
200612260GSW,8,310
200611080SAS,25,427
200611010SEA,26,359
200612270POR,23,454
200704180NJN,17,442
200702020PHI,21,369
200611140MIA,14,438
200703140TOR,27,418
200702140NOK,18,264
200703130SAS,25,427
200703110SAC,24,309
200611290ATL,0,455
200612090DAL,5,224
200703100UTA,28,337
200703210SEA,26,307
200612260UTA,28,299
200703240CHA,2,341
200701260UTA,28,299
200611210DAL,5,211
200611250MIL,15,378
200612060CHA,2,391
200703260HOU,9,452
200612290MIA,14,302
200702280HOU,9,440
200612040CHI,3,272
200611290GSW,8,434
200701030WAS,29,197
200702060NYK,19,410
200701050WAS,29,161
200704150ORL,20,426
200703070ATL,0,405
200701270CHI,3,329
200702270MIN,16,431
200704010ATL,0,455
200612080MIN,16,431
200702200NYK,19,412
200701190DEN,6,411
200702050MIA,14,438
200702240DAL,5,211
200703250LAL,12,404
200612310LAC,11,424
200702050WAS,29,197
200612080SAS,25,427
200702120DET,7,420
200704170GSW,8,308
200611080TOR,27,250
200703110CLE,4,259
200702200MIL,15,318
200703020DEN,6,451
200703110SAC,24,309
200611220CHA,2,391
200701170DET,7,420
200704180SEA,26,352
200701200CHA,2,293
200704140PHI,21,415
200611130NYK,19,410
200612310SAS,25,427
200611300LAL,12,404
200703140TOR,27,418
200612080IND,10,409
200611080ORL,20,246
200612260IND,10,385
200612260GSW,8,310
200701270GSW,8,319
200702260NYK,19,410
200701050TOR,27,356
200703270LAL,12,404
200611200CHA,2,360
200703300MIN,16,366
200612270ORL,20,432
200703280UTA,28,299
200612260DEN,6,451
200704090DEN,6,325
200702130MIL,15,378
200611110MIN,16,433
200703020MIN,16,366
200611250HOU,9,452
200612010SEA,26,359
200612260GSW,8,308
200701040SAC,24,398
200703040PHO,22,413
200611060LAC,11,399
200611220MIL,15,378
200701300NYK,19,410
200612250MIA,14,438
200612020SAS,25,303
200612220DAL,5,224
200701120LAL,12,404
200701190ATL,0,455
200612150POR,23,430
200702060MEM,13,313
200701260NOK,18,437
200702210NJN,17,316
200611130NJN,17,324
200611240IND,10,409
200701310HOU,9,347
200702140TOR,27,418
200703020LAL,12,387
200703140IND,10,434
200611150ORL,20,426
200612130CLE,4,259
200611240SEA,26,359
200701040DAL,5,204
200612110UTA,28,299
200701220UTA,28,299
200612200ATL,0,455
200701150NYK,19,410
200701030HOU,9,414
200611070MIA,14,438
200702240CHA,2,446
200612150IND,10,409
200703050LAC,11,424
200611010MEM,13,379
200704070SAS,25,427
200611240BOS,1,380
200704030CHA,2,446
200611290LAC,11,399
200701310ATL,0,403
200703260UTA,28,337
200702280MEM,13,379
200611280DEN,6,361
200702100HOU,9,428
200703280NYK,19,410
200612220NJN,17,442
200701240NYK,19,362
200703290CHI,3,329
200702240UTA,28,374
200702280DEN,6,451
200611150NJN,17,442
200702020IND,10,310
200701070LAL,12,404
200612110CHI,3,329
200703040NOK,18,437
200703310NJN,17,442
200611120WAS,29,197
200704040NOK,18,357
200612180MEM,13,379
200701080DEN,6,325
200704140MEM,13,419
200704080MIA,14,200
200703250SEA,26,354
200704010DET,7,420
200702030WAS,29,197
200702260SEA,26,359
200701090PHO,22,348
200701100DAL,5,204
200611030ORL,20,429
200611290LAC,11,424
200701310NOK,18,357
200703280DEN,6,411
200611250HOU,9,452
200701170MEM,13,335
200703030ATL,0,455
200612170DET,7,420
200612080CHI,3,276
200611050NOK,18,437
200704090NYK,19,412
200702230MIN,16,431
200701220CLE,4,456
200703120CHA,2,391
200610310LAL,12,444
200701140POR,23,393
200701310MIN,16,366
200704070UTA,28,346
200703040BOS,1,380
200701240TOR,27,356
200701100MIL,15,411
200704130CHI,3,421
200612080ORL,20,246
200701050ORL,20,432
200702020ATL,0,455
200701260LAL,12,404
200704040MIL,15,274
200701270IND,10,288
200612200POR,23,454
200702260MEM,13,419
200611010DET,7,420
200701230ORL,20,246
200612080ORL,20,432
200701220DEN,6,411
200703020NYK,19,412
200611250MIN,16,366
200611200UTA,28,374
200612150MEM,13,379
200703140MEM,13,379
200611140NOK,18,437
200702140ORL,20,246
200703220MEM,13,335
200704070DAL,5,204
200703100CHA,2,391
200612190PHO,22,413
200611200SEA,26,269
200702110GSW,8,409
200612160MIA,14,438
200612260UTA,28,374
200703230ATL,0,455
200702020IND,10,310
200702210TOR,27,320
200701230ORL,20,429
200703140PHI,21,415
200701170MIL,15,151
200704010MIL,15,378
200704080LAL,12,404
200702220CLE,4,388
200611250ORL,20,432
200703230SEA,26,354
200702120UTA,28,374
200703030ATL,0,455
200612020CHI,3,272
200611140GSW,8,319
200703140HOU,9,452
200612030LAC,11,424
200611250SAC,24,301
200703110SAC,24,398
200611170SEA,26,359
200703120MIL,15,318
200611190LAL,12,444
200612260UTA,28,374
200704010HOU,9,452
200704130PHO,22,413
200702070DAL,5,224
200701120IND,10,409
200704010HOU,9,428
200702130LAL,12,387
200704110MIN,16,353
200612210SAC,24,398
200701100WAS,29,161
200701240IND,10,288
200703060SAC,24,398
200703140BOS,1,392
200701100HOU,9,395
200703300PHO,22,413
200702220CLE,4,259
200702130MIA,14,438
200611180NJN,17,442
200704070UTA,28,374
200704180IND,10,434
200612170IND,10,409
200704160UTA,28,299
200611060UTA,28,374
200702280DEN,6,451
200612060MIN,16,433
200703160GSW,8,409
200612160SAC,24,398
200701310CHA,2,360
200611180NYK,19,412
200612230DET,7,420
200611060SAC,24,398
200611240PHO,22,401
200611220HOU,9,452
200704180CHA,2,381
200704160DEN,6,451
200611130BOS,1,349
200704140CLE,4,456
200701130SAS,25,303
200701100MIN,16,431
200703210CLE,4,456
200612170LAC,11,424
200703030HOU,9,428
200612060BOS,1,349
200701220BOS,1,380
200611290CLE,4,456
200702100HOU,9,395
200611200SEA,26,359
200702100NOK,18,357
200611030MEM,13,313
200701150PHI,21,450
200702240DAL,5,224
200702260HOU,9,395
200612080MIL,15,411
200701120POR,23,454
200701050MIL,15,318
200703230SAS,25,427
200703310CHI,3,436
200612220ATL,0,406
200704010ORL,20,426
200701300NYK,19,322
200703160MIA,14,438
200612020DEN,6,451
200704090DAL,5,211
200611100CHA,2,391
200703100ATL,0,455
200704150ORL,20,432
200701210PHI,21,450
200611110CLE,4,259
200701130DET,7,420
200701280BOS,1,392
200703300ORL,20,426
200703050MIA,14,438
200703300SAS,25,423
200703260MIA,14,397
200612150DAL,5,164
200611090GSW,8,310
200704010PHO,22,413
200703210SAC,24,398
200703170IND,10,434
200702140SEA,26,359
200702230CHA,2,360
200611020DAL,5,224
200702250MIA,14,438
200704030SAC,24,398
200701090IND,10,385
200612290MIN,16,366
200703220PHO,22,413
200704090SAS,25,423
200612200ORL,20,432
200611130NJN,17,442
200701260LAL,12,387
200611010NJN,17,442
200701130UTA,28,346
200701290MEM,13,335
200611240DET,7,420
200702070CLE,4,456
200611080LAC,11,424
200703160TOR,27,418
200611170SAS,25,292
200701280LAL,12,444
200701020CLE,4,259
200703160TOR,27,250
200611240BOS,1,445
200612110UTA,28,299
200611250CHA,2,391
200704160SAC,24,343
200704060PHI,21,450
200612070SAC,24,398
200703250ATL,0,290
200703170CLE,4,386
200703020CHI,3,436
200701240IND,10,288
200611260TOR,27,418
200701290ATL,0,455
200704040LAC,11,424
200702200POR,23,430
200703300LAL,12,404
200612010SEA,26,359
200704110POR,23,345
200611180UTA,28,374
200612110PHI,21,384
200701090PHI,21,384
200703310POR,23,430
200612260DEN,6,361
200612280DAL,5,224
200702090DAL,5,211
200612100LAL,12,404
200612110ORL,20,432
200612090NYK,19,410
200702130MIA,14,438
200704160UTA,28,299
200702230TOR,27,418
200704030LAL,12,376
200611150SEA,26,359
200611250ORL,20,246
200612290MIN,16,366
200701220DEN,6,411
200703050CLE,4,456
200701240TOR,27,320
200612150MEM,13,379
200611280DEN,6,451
200701230SEA,26,359
200612230MIL,15,411
200612090CLE,4,259
200703130SEA,26,359
200702090CHA,2,360
200701190TOR,27,320
200703270LAL,12,404
200704120LAL,12,404
200611150CLE,4,259
200612310LAL,12,394
200702230CHI,3,421
200702080SAC,24,309
200701070LAL,12,404
200612200POR,23,454
200611220POR,23,454
200704090MIN,16,366
200701070TOR,27,320
200611080ORL,20,426
200612080MIN,16,431
200611180MIL,15,411
200704070NJN,17,442
200701220IND,10,434
200611040NYK,19,412
200611280NJN,17,365
200704130LAC,11,383
200611090PHO,22,413
200702090BOS,1,380
200702070IND,10,434
200704140MEM,13,419
200703130SEA,26,359
200704060BOS,1,392
200611290ATL,0,435
200612220ORL,20,432
200702280BOS,1,380
200612130DAL,5,224
200701090IND,10,402
200704080SAC,24,301
200701170LAC,11,383
200611040UTA,28,374
200701230PHI,21,384
200702080NOK,18,437
200703100ATL,0,403
200611220HOU,9,452
200702270CLE,4,259
200702210TOR,27,418
200702110PHO,22,401
200701240TOR,27,221
200611280CHI,3,276
200612260IND,10,385
200702100UTA,28,337
200703220CHI,3,329
200701050SAS,25,423
200611140NOK,18,437
200702230POR,23,430
200702130CHI,3,272
200611030PHO,22,413
200612110LAC,11,399
200703310CHI,3,436
200703200PHO,22,401
200703250ATL,0,455
200703230NOK,18,437
200704110MIA,14,189
200611010SEA,26,359
200611240IND,10,409
200703130NOK,18,437
200612040LAL,12,297
200702050IND,10,402
200701150GSW,8,319
200703200HOU,9,428
200703260PHO,22,413
200703100ATL,0,382
200702050WAS,29,197
200701120GSW,8,319
200704090SAS,25,427
200704060ATL,0,435
200612060BOS,1,349
200701150CHI,3,436
200702060NYK,19,410
200701260PHI,21,384
200611040NYK,19,412
200611200SEA,26,359
200701180MIA,14,200
200701060SAC,24,398
200611170IND,10,409
200702070BOS,1,392
200704150GSW,8,319
200611150NYK,19,410
200704070NJN,17,365
200701050LAL,12,444
200701050WAS,29,197
200704180SAC,24,343
200612030PHI,21,384
200703140TOR,27,418
200704110MIN,16,353
200611030CHI,3,421
200611010PHI,21,450
200612060DEN,6,281
200611040WAS,29,161
200611100TOR,27,418
200702130NJN,17,442
200701170MIL,15,378
